(10080, [0, 0, 0, 1, 9, 3])
(10080, [0, 0, 0, 1, 9, 4])
(10080, [0, 0, 0, 1, 9, 5])
(10080, [0, 0, 0, 1, 9, 7])
(10080, [0, 0, 0, 1, 9, 10])
(10080, [0, 0, 0, 1, 9, 12])
(10080, [0, 0, 0, 1, 9, 13])
(10080, [0, 0, 0, 1, 9, 14])
(10080, [0, 0, 0, 1, 9, 15])
(10080, [0, 0, 0, 1, 9, 16])
(10080, [0, 0, 0, 1, 9, 17])
(10080, [0, 0, 0, 1, 9, 18])
(10080, [0, 0, 0, 1, 9, 19])
(10080, [0, 0, 0, 1, 9, 21])
(10080, [0, 0, 0, 1, 9, 26])
(10080, [0, 0, 0, 1, 9, 28])
(10080, [0, 0, 0, 1, 9, 40])
(10080, [0, 0, 0, 1, 10, 0])
(10080, [0, 0, 0, 1, 10, 12])
(10080, [0, 0, 0, 1, 10, 15])
(10080, [0, 0, 0, 1, 10, 16])
(10080, [0, 0, 0, 1, 10, 17])
(10080, [0, 0, 0, 1, 10, 19])
(10080, [0, 0, 0, 1, 10, 22])
(10080, [0, 0, 0, 1, 10, 25])
(10080, [0, 0, 0, 1, 10, 26])
(10080, [0, 0, 0, 1, 10, 27])
(10080, [0, 0, 0, 1, 10, 29])
(10080, [0, 0, 0, 1, 10, 30])
(10080, [0, 0, 0, 1, 10, 31])
(10080, [0, 0, 0, 1, 10, 33])
(10080, [0, 0, 0, 1, 10, 34])
(10080, [0, 0, 0, 1, 10, 36])
(10080, [0, 0, 0, 1, 10, 40])
(10080, [0, 0, 0, 1, 11, 12])
(10080, [0, 0, 0, 1, 11, 13])
(10080, [0, 0, 0, 1, 11, 15])
(10080, [0, 0, 0, 1, 11, 19])
(10080, [0, 0, 0, 1, 11, 21])
(10080, [0, 0, 0, 1, 11, 24])
(10080, [0, 0, 0, 1, 11, 25])
(10080, [0, 0, 0, 1, 11, 28])
(10080, [0, 0, 0, 1, 11, 32])
(10080, [0, 0, 0, 1, 11, 33])
(10080, [0, 0, 0, 1, 11, 34])
(10080, [0, 0, 0, 1, 11, 35])
(10080, [0, 0, 0, 1, 11, 36])
(10080, [0, 0, 0, 1, 11, 37])
(10080, [0, 0, 0, 1, 11, 39])
(10080, [0, 0, 0, 1, 12, 0])
(10080, [0, 0, 0, 1, 12, 2])
